"rob_ID",".id","ID","biorxiv","published","title","year","journal","doi","author","author_name","author_email","author_address","hypothesis","rationale","MR_design","outcome","outcome_info","outcome_group","outcome_definition","outcome_study","outcome_age_range","outcome_sex","outcome_n_case_current","outcome_n_control_current","outcome_n_case_og","outcome_n_control_og","outcome_n_difference_reason","outcome_health_status","outcome_population","exposure","exposure_definition","exposure_study","exposure_age","exposure_sex","exposure_n_current","exposure_n_og","exposure_n_difference_reason","exposure_health_status","exposure_population","exposure_covariates_model","exposure_genotyping_dataset","exposure_independence","exposure_pleiotropy","exposure_pvalue","exposure_palindrome","exposure_proxy","exposure_HWE","IV_single","IV_multiple","IV_GRS","n_SNP_og","n_SNP_difference_reason","power_calculation","power_calculation_how","MR_method","MR_sensitivity_method1","MR_sensitivity_method2","MR_sensitivity_method3","MR_sensitivity_method4","MR_sensitivity_method5","MR_sensitivity_method_results","IV_strength","analysis_software","analysis_programme","replication_independent","replication_subsetting","multiple_testing","exposure_units","outcome_units","effect_estimate","estimate","se","ci_percent","ci_lower","ci_upper","p","adjustment_method","p_adjusted","limitations_overall","limitations_pleiotropy","limitations_population_stratification","limitations_statistical_power","notes",".id2","formatted_estimate","formatted_ci_lower","formatted_ci_upper"
36,"metabolic_type2_diabetes_BMI.csv",26,"yes","yes","Causal relationships between obesity and the leading causes of death in women and men
",2019,"PLOS Genetics","10.1371/journal.pgen.1008405","Censin","Cecilia M Lindgren","lindgrenpa@bdi.ox.ac.uk","Big Data Institute at the Li Ka Shing Centre for Health Information and Discovery, University of Oxford, Oxford, United Kingdom, Wellcome Centre for Human Genetics, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom, Program in Medical and Population Genetics, Broad Institute, Cambridge, Massachusetts, United States of America","Effect of body mass index on multiple disease outcomes","Previous studies have found causal relationships between higher BMI and WHR adjusted for BMI (WHRadjBMI) and type 2 diabetes (T2D) and coronary artery disease (CAD), using a limited number of previously known obesity-associated single nucleotide polymorphisms (SNPs). However, sex-specific relationships are largely unexplored as is the the role that obesity traits play in the leading causes of death beyond these cardiometabolic diseases.","One-sample","type 2 diabetes","type 2 diabetes","metabolic","Algorithm sorts participants to likely diabetes status by using information on e.g. self-reported diabetes diagnosis, age of diagnosis, medications, start of insulin within a year of diagnosis, and other self-reported data at the baseline visit. Outcome definition from Eastwood et al (28) algorithm. Probable and possible cases or probable only. Controls defined as diabetes unlikely.","Current study","40-69","both",18329,405178,NA,NA,NA,NA,"European","BMI","BMI","Pulit 2019 BMI European both","18+","both","Not discussed",1,NA,"Healthy","European","Adjustments were made for baseline age, age2, array type, assessment centre, 10 principalcomponents, and sex if applicable, for all traits when in clinical units and for binary outcomes,and array and 10 principal components if rank inverse normal transformed (where adjustmentfor age, age2, assessment centre, and if applicable sex had already been performed in the rankinverse normal transformation of the residuals)","HRC","We then pruned these SNPs for LD independence, so that not correlated SNPs from different sex-specific analyses would be included, and to obtain a set of the same SNPs for all sex strata. Independent SNPs were selected by taking all the SNPs specified as “index” SNPs in the men, women or combined-sexes analyses and then keeping the SNP with the lowest combined-sexes P-value within each 1 Mb sliding window for BMI, WHR, and WHRadjBMI separately. We later excluded SNPs based on long-distance LD (r2>0.05)","Extensive re-analysis using differnet SNP sets and startification by smoking etc.","5x10-9","Not discussed","Not discussed","P >= 1x10-6",NA,NA,565,806,"Not all exclusions explained. For all GRSs, any SNPs found to be non-biallelic in the UK Biobank were excluded (n=6, rs7798002, rs73646205, rs10828247, rs10892873, rs699370, rs805768), as this would violate the additive assumption. Four SNPs were also excluded as they failed post-imputation quality control (rs11500477, rs144926207, rs547943994, rs9638713). To further ascertain that there was no LD between SNPs in a GRS, we computed the r2 between all pairs of SNPs included in an instrument–for pairs of correlated (r2>0.05) SNPs included in the same instrument, the SNP in each pair with the highest P-value was excluded (rs1025395, rs9302652, rs8189480).","Not discussed",NA,"Wald ratio","MR Egger",1,NA,NA,NA,"Consistent with main analysis: A few of the GRSs used in the main analysis showed evidence of directional pleiotropy in the MR-Egger intercept test. The MR-Egger point estimates for all these associations were of lower magnitude than the point estimates from the main MR analyses. Despite this, for all the disease outcome MR analyses where one sex had significantly higher estimates than the other the point estimates using the IVW, MR-Egger, and weighted median methods were all higher in the same sex as in the main analysis. This indicates that the sex differences we see are robust using different MR methods to compute causal estimates","Lowest F stat of any GRS was 4,921. We assessed the strengths of associations between the GRSs and their respective obesity trait by computing trait variance explained and the F-statistics. First, we standardized the obesity traits by rank inverse normal transformation of the residuals after regression of the obesity trait on baseline age, age2, assessment centre, and if applicable sex, after any sample quality exclusions. This was done separately for men and women in the sex-specific analyses, but jointly in the combined analyses. For WHRadjBMI, we also adjusted for BMI. We thereafter performed linear regression, adjusting for array type and 10 principal components. Trait variance explained was defined as the increase in adjusted R2 by inclusion of the GRS in the linear regression model. F-statistics were computed using the formula F=((n-k-1)/k)(R^2/〖1-R〗^2 ), where n is the number of observations, k=1 for number of instruments, and R2 the unadjusted R2","R","R package MendelianRandomization","Not discussed","Replicated in white british only subset. Consitent with main analysis","For the obesity trait-disease analyses, the P-value threshold was set at <0.001 (= 0.05/51) for the total of 51 obesity trait-disease combinations investigated in the study. For the obesitytrait-risk factor analyses, the P-value threshold was set at <0.003 (= 0.05/15), for the total of 15obesity trait-risk factor combinations investigated in the study.","SD","Case/control","OR",3.18,NA,95,2.97,3.39,1,"Bonferromi for 51 tests","0.000980392156862745","imbalances in the proportion of women and men
in included studies, differential availability of summary-level sex-stratified GWAS data and
the potential for biases to operate differentially between women and men pose additional complexities in deciphering underlying causal effects. It is possible that our genetic instrument for WHRadjBMI might show features of colliderbias whereby SNPs included in the GRS associate with both higher WHR and lower BMI leading to potentially spurious findings. Sensitivity analysis supported main findings. Different SNPs and weightings for SNPs all supported main findings.","Performed extensive re-analysis using different SNP sets which were all consistent with main analysis","Results not generalizeable outside of Europeans. Recent studies have highlighted potential population stratification in both Genetic Investigation of ANthropometric Traits (GIANT) and UKBB. Another study has indicated that GRS distributions can differ slightly between different European populations. We therefore conducted analyses both in all Europeans (self-report of any “white” category) in the main analyses and in a subset of British participants only (in the “White British ancestry subset” as classified by the UK Biobank. The results were highly similar to those performed in all Europeans.","Samll case samples in cancers may have lead to weak power. In women, the effects of WHR were directionally consistent with harm, but the estimates were imprecise, probably reflecting insufficient powerin the sex-stratified analysis.",NA,"BMI on type 2 diabetes",1.15688119679209,1.08856195281461,1.22082992139236
37,"metabolic_type2_diabetes_BMI.csv",129,"no","yes","Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis",2018,"International Journal of Epidemiology","10.1093/ije/dyy201","Shu","Wei Zheng","wei.zheng@vanderbilt.edu","Vanderbilt Epidemiology Center and Vanderbilt-Ingram Cancer Center, Vanderbilt University School of Medicine, 2525 West End Avenue, 8th Floor, Nashville, TN 37203-1738, USA","Effect of adiposity measures on type 2 diabetes and breast cancer","In addition to the established association between general obesity and
breast cancer risk, central obesity and circulating fasting insulin and glucose have been
linked to the development of this common malignancy. Findings from previous studies,
however, have been inconsistent, and the nature of the associations is unclear.","Two-sample summary-level","type 2 diabetes","type 2 diabetes","metabolic","Varied by cohort","Morris 2012 Type 2 Diabetes European/Pakistani both","40-70 (approx)","both",34840,114981,34840,114981,NA,"case/control","European/Pakistani","BMI","BMI","Not discussed","Not discussed","Not discussed","Not discussed",2,"SNPs were selected from multiple studies by searching the National Human Genome Research Institute-European Bioinformatics Institute Catalogof Published Genome-Wide Association Studies and the literaturefor SNPs associated with the following traits: levels of2-h glucose (2hrGlu), fasting glucose (FG), fasting insulin(FI), BMI and waist-hip-ratio with adjustment of BMI(WHRadj BMI).","Not discussed","European","Not discussed","Not discussed","r2 < 0.1","Not discussed","4.9999999999999998E-8","Not discussed","Not discussed","Not discussed",NA,132,NA,NA,"SNPs were selected from multiple studies by searching the National Human Genome Research Institute-European Bioinformatics Institute Catalogof Published Genome-Wide Association Studies and the literaturefor SNPs associated with the following traits: levels of2-h glucose (2hrGlu), fasting glucose (FG), fasting insulin(FI), BMI and waist-hip-ratio with adjustment of BMI(WHRadj BMI).","Not discussed",NA,"Inverse variance weighted","MR Egger",NA,NA,NA,NA,NA,"No","R","Not discussed","Not discussed","Not discussed","Not discussed","SD","Case/control","OR",1.92,NA,95,1.64,2.25,2,NA,NA,"Pleiotropy effect exist in obesity association studies; statistical power might be low because of low variance explained by IVs.","Pleiotropy was found for the associations of obesity, but it is not likely that the observed associations can be primarily explained by pleiotropic effects.","Not discussed","Our ability to perform Mendelianrandomization analysis is limited by the genetic variants identified to date in GWAS, and the variance explained bythese genetic variants for some traits is small. We used 10 instruments in our main analysis, which could lead to false positive findings due to multiple comparisons. However, the associations reported in this study for 2-h glucose, fastinginsulin, BMI and WHRadj BMI were robust, reaching thestringent Bonferroni corrected significance level (P < 0.005).",NA,"BMI on type 2 diabetes",0.65232518603969,0.494696241836107,0.810930216216329
38,"metabolic_type2_diabetes_WHRadjBMI.csv",26,"yes","yes","Causal relationships between obesity and the leading causes of death in women and men
",2019,"PLOS Genetics","10.1371/journal.pgen.1008405","Censin","Cecilia M Lindgren","lindgrenpa@bdi.ox.ac.uk","Big Data Institute at the Li Ka Shing Centre for Health Information and Discovery, University of Oxford, Oxford, United Kingdom, Wellcome Centre for Human Genetics, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom, Program in Medical and Population Genetics, Broad Institute, Cambridge, Massachusetts, United States of America","Effect of body mass index on multiple disease outcomes","Previous studies have found causal relationships between higher BMI and WHR adjusted for BMI (WHRadjBMI) and type 2 diabetes (T2D) and coronary artery disease (CAD), using a limited number of previously known obesity-associated single nucleotide polymorphisms (SNPs). However, sex-specific relationships are largely unexplored as is the the role that obesity traits play in the leading causes of death beyond these cardiometabolic diseases.","One-sample","type 2 diabetes","type 2 diabetes","metabolic","Algorithm sorts participants to likely diabetes status by using information on e.g. self-reported diabetes diagnosis, age of diagnosis, medications, start of insulin within a year of diagnosis, and other self-reported data at the baseline visit. Outcome definition from Eastwood et al (28) algorithm. Probable and possible cases or probable only. Controls defined as diabetes unlikely.","Current study","40-69","both",18329,405178,NA,NA,NA,NA,"European","WHRadjBMI","WHRadjBMI","Pulit 2019 WHRadjBMI European both","18+","both","Not discussed",1,NA,"Healthy","European","Adjustments were made for baseline age, age2, array type, assessment centre, 10 principalcomponents, and sex if applicable, for all traits when in clinical units and for binary outcomes,and array and 10 principal components if rank inverse normal transformed (where adjustmentfor age, age2, assessment centre, and if applicable sex had already been performed in the rankinverse normal transformation of the residuals)","HRC","We then pruned these SNPs for LD independence, so that not correlated SNPs from different sex-specific analyses would be included, and to obtain a set of the same SNPs for all sex strata. Independent SNPs were selected by taking all the SNPs specified as “index” SNPs in the men, women or combined-sexes analyses and then keeping the SNP with the lowest combined-sexes P-value within each 1 Mb sliding window for BMI, WHR, and WHRadjBMI separately. We later excluded SNPs based on long-distance LD (r2>0.05)","Extensive re-analysis using differnet SNP sets and startification by smoking etc.","5x10-9","Not discussed","Not discussed","P >= 1x10-6",NA,NA,324,463,"Not all exclusions explained. For all GRSs, any SNPs found to be non-biallelic in the UK Biobank were excluded (n=6, rs7798002, rs73646205, rs10828247, rs10892873, rs699370, rs805768), as this would violate the additive assumption. Four SNPs were also excluded as they failed post-imputation quality control (rs11500477, rs144926207, rs547943994, rs9638713). To further ascertain that there was no LD between SNPs in a GRS, we computed the r2 between all pairs of SNPs included in an instrument–for pairs of correlated (r2>0.05) SNPs included in the same instrument, the SNP in each pair with the highest P-value was excluded (rs1025395, rs9302652, rs8189480).","Not discussed",NA,"Wald ratio","MR Egger",1,NA,NA,NA,"Consistent with main analysis: A few of the GRSs used in the main analysis showed evidence of directional pleiotropy in the MR-Egger intercept test. The MR-Egger point estimates for all these associations were of lower magnitude than the point estimates from the main MR analyses. Despite this, for all the disease outcome MR analyses where one sex had significantly higher estimates than the other the point estimates using the IVW, MR-Egger, and weighted median methods were all higher in the same sex as in the main analysis. This indicates that the sex differences we see are robust using different MR methods to compute causal estimates","Lowest F stat of any GRS was 4,921. We assessed the strengths of associations between the GRSs and their respective obesity trait by computing trait variance explained and the F-statistics. First, we standardized the obesity traits by rank inverse normal transformation of the residuals after regression of the obesity trait on baseline age, age2, assessment centre, and if applicable sex, after any sample quality exclusions. This was done separately for men and women in the sex-specific analyses, but jointly in the combined analyses. For WHRadjBMI, we also adjusted for BMI. We thereafter performed linear regression, adjusting for array type and 10 principal components. Trait variance explained was defined as the increase in adjusted R2 by inclusion of the GRS in the linear regression model. F-statistics were computed using the formula F=((n-k-1)/k)(R^2/〖1-R〗^2 ), where n is the number of observations, k=1 for number of instruments, and R2 the unadjusted R2","R","R package MendelianRandomization","Not discussed","Replicated in white british only subset. Consitent with main analysis","For the obesity trait-disease analyses, the P-value threshold was set at <0.001 (= 0.05/51) for the total of 51 obesity trait-disease combinations investigated in the study. For the obesitytrait-risk factor analyses, the P-value threshold was set at <0.003 (= 0.05/15), for the total of 15obesity trait-risk factor combinations investigated in the study.","SD","Case/control","OR",2.1,NA,95,1.96,2.26,1,"Bonferromi for 51 tests","0.000980392156862745","imbalances in the proportion of women and men
in included studies, differential availability of summary-level sex-stratified GWAS data and
the potential for biases to operate differentially between women and men pose additional complexities in deciphering underlying causal effects. It is possible that our genetic instrument for WHRadjBMI might show features of colliderbias whereby SNPs included in the GRS associate with both higher WHR and lower BMI leading to potentially spurious findings. Sensitivity analysis supported main findings. Different SNPs and weightings for SNPs all supported main findings.","Performed extensive re-analysis using different SNP sets which were all consistent with main analysis","Results not generalizeable outside of Europeans. Recent studies have highlighted potential population stratification in both Genetic Investigation of ANthropometric Traits (GIANT) and UKBB. Another study has indicated that GRS distributions can differ slightly between different European populations. We therefore conducted analyses both in all Europeans (self-report of any “white” category) in the main analyses and in a subset of British participants only (in the “White British ancestry subset” as classified by the UK Biobank. The results were highly similar to those performed in all Europeans.","Samll case samples in cancers may have lead to weak power. In women, the effects of WHR were directionally consistent with harm, but the estimates were imprecise, probably reflecting insufficient powerin the sex-stratified analysis.",NA,"WHRadjBMI on type 2 diabetes",0.741937344729377,0.672944473242426,0.815364813284194
39,"metabolic_type2_diabetes_WHRadjBMI.csv",129,"no","yes","Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis",2018,"International Journal of Epidemiology","10.1093/ije/dyy201","Shu","Wei Zheng","wei.zheng@vanderbilt.edu","Vanderbilt Epidemiology Center and Vanderbilt-Ingram Cancer Center, Vanderbilt University School of Medicine, 2525 West End Avenue, 8th Floor, Nashville, TN 37203-1738, USA","Effect of adiposity measures on type 2 diabetes and breast cancer","In addition to the established association between general obesity and
breast cancer risk, central obesity and circulating fasting insulin and glucose have been
linked to the development of this common malignancy. Findings from previous studies,
however, have been inconsistent, and the nature of the associations is unclear.","Two-sample summary-level","type 2 diabetes","type 2 diabetes","metabolic","Varied by cohort","Morris 2012 Type 2 Diabetes European/Pakistani both","40-70 (approx)","both",34840,114981,34840,114981,NA,"case/control","European/Pakistani","WHRadjBMI","WHRadjBMI","Not discussed","Not discussed","Not discussed","Not discussed",2,"SNPs were selected from multiple studies by searching the National Human Genome Research Institute-European Bioinformatics Institute Catalogof Published Genome-Wide Association Studies and the literaturefor SNPs associated with the following traits: levels of2-h glucose (2hrGlu), fasting glucose (FG), fasting insulin(FI), BMI and waist-hip-ratio with adjustment of BMI(WHRadj BMI).","Not discussed","European","Not discussed","Not discussed","r2 < 0.1","Not discussed","4.9999999999999998E-8","Not discussed","Not discussed","Not discussed",NA,53,NA,NA,"SNPs were selected from multiple studies by searching the National Human Genome Research Institute-European Bioinformatics Institute Catalogof Published Genome-Wide Association Studies and the literaturefor SNPs associated with the following traits: levels of2-h glucose (2hrGlu), fasting glucose (FG), fasting insulin(FI), BMI and waist-hip-ratio with adjustment of BMI(WHRadj BMI).","Not discussed",NA,"Inverse variance weighted","MR Egger",NA,NA,NA,NA,NA,"No","R","Not discussed","Not discussed","Not discussed","Not discussed","SD","Case/control","OR",1.87,NA,95,1.53,2.29,2,NA,NA,"Pleiotropy effect exist in obesity association studies; statistical power might be low because of low variance explained by IVs.","Pleiotropy was found for the associations of obesity, but it is not likely that the observed associations can be primarily explained by pleiotropic effects.","Not discussed","Our ability to perform Mendelianrandomization analysis is limited by the genetic variants identified to date in GWAS, and the variance explained bythese genetic variants for some traits is small. We used 10 instruments in our main analysis, which could lead to false positive findings due to multiple comparisons. However, the associations reported in this study for 2-h glucose, fastinginsulin, BMI and WHRadj BMI were robust, reaching thestringent Bonferroni corrected significance level (P < 0.005).",NA,"WHRadjBMI on type 2 diabetes",0.625938430866495,0.425267735404344,0.828551817566148
40,"reproductive_PCOS_BMI.csv",15,"no","yes","Bidirectional Mendelian randomization to explore the causal relationships between body mass index and polycystic ovary syndrome",2018,"Human Reproduction","10.1093/humrep/dey343","Brower","Mark Goodarzi","mark.goodarzi@cshs.org","Division of Endocrinology, Diabetes and Metabolism, Cedars-Sinai Medical Center, 8700 Beverly Blvd., Room B-131, Los Angeles, CA 90048, USA","Effect of body mass index on PCOS","Women with PCOS have a high prevalence (50–70%) of overweight and obesity, with obesity exacerbating the PCOS phenotype","Two-sample summary-level","PCOS","polycystic ovary syndrome","reproductive","polycystic ovary syndrome","Current study","Not discussed","both",750,1567,NA,NA,NA,"case/control","European ancestry","BMI","BMI","Locke 2015 BMI All ancestries both","not discussed","both","not discussed",339224,NA,"Healthy","European ancestry",NA,NA,NA,NA,"5x10-8",NA,"LD R2 > 0.8","Not discussed",NA,NA,1,97,"4 SNPs not available in outcome and 1 SNP did not meet MR inclusion criteria","no",NA,"Inverse variance weighted (fixed effects)","Maximum likelihood",1,NA,NA,NA,"Consistent with IVW","F statistic > 10","R","TwoSampleMR","Not discussed","Not discussed","Not discussed","SD","Case/control","OR",4.89,NA,95,1.46,16.32,2,NA,NA,"Not discussed","Not discussed","Not discussed","Not discussed",NA,"BMI on PCOS",1.58719230348678,0.378436435720245,2.79239134953596
41,"respiratory_asthma_BMI_asthma.csv",111,"no","yes","Instrumental Variable Estimation of Causal Risk Ratios and Causal Odds Ratios in Mendelian Randomization Analyses",2011,"American Journal of Epidemiology","10.1093/aje/kwr026","Palmer","Tom M. Palmer","tom.palmer@bristol.ac.uk","MRC Centre for Causal Analyses in Translational Epidemiology United Kingdom","Effect of body mass index on asthma","Methods paper using body mass index and asthma as example","One-sample","asthma","asthma","respiratory","Physician diagnosis of asthma","Current study","7","both",649,1,2,1,NA,"Case/control","European ancestry","BMI","BMI","Current study","7","both",NA,NA,"One-sample","Case/control","European","not discussed","Not discussed","Not discussed","Association of SNP with outcome and covariates","5x10-8",NA,NA,"Yes",1,NA,NA,NA,NA,"Not discussed",NA,"Wald ratio",NA,NA,NA,NA,NA,NA,"R2, F-statistic","Stata","Not discussed","Not discussed","Not discussed",NA,"SD","Case/control","OR",1.45,NA,95,0.64,2.96,2,"Not discussed","Not discussed","Method comparison paper using BMI/asthma as example.","Not discussed","Not discussed","Not discussed",NA,"BMI on asthma",0.371563556432483,-0.446287102628419,1.08518926833597
42,"respiratory_asthma_BMI_asthma.csv",132,"no","yes","Estimating the causal effect of body mass index on hay fever, asthma and lung function using Mendelian randomization.",2018,"Allergy","10.1111/all.13242","Skaaby","Tea Skaaby","tea.skaaby.01@regionh.dk","Research Centre for Prevention and Health, Rigshospitalet–Glostrup, Glostrup, Denmark.","Effect of body mass index on asthma, hay fever, allergic sensitization, serum total immunoglobulin E (IgE), forced expiratory volume in one‐second (FEV1) and forced vital capacity (FVC).","Overweight and obesity are in reported observational studies consistently associated with increased prevalence of asthma and,1 to some extent, decreased lung function,2 while the association with hay fever and allergic sensitization is less clear.3-5 Overweight and obesity may affect the lungs in several ways, for example, through inflammation that may predispose to asthma or through a mechanical effect on lung function.","Two-sample summary-level","asthma","asthma","respiratory","Based on self-report - questions are particular to each cohort","Current study","50-63 (IQR)","both",146072,2,1,2,NA,"Case/control","European ancestry","BMI","BMI","Current study","40-61 (IQR across cohorts)","both","16299",146072,NA,"Case/control","European ancestry",NA,"Unimputed array data","Not discussed","we also performed MR Egger regression and median regression analyses","Not discussed","Not discussed","Not discussed","Tested and presented HWE, SNPs excluded in a sensitivity analysis",NA,26,NA,1,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",1,NA,NA,NA,"They mention ""median regression"" and don't explain what this means - assuming simple median though. Also they're not explicit they used IVW,","F-statistic = 1-397","SAS, Stata, R","MendelianRandomization; ivpack","Not discussed","Not discussed","Not discussed","SD","Case/control","OR",1.06,NA,95,1.03,1.1,1,"None",NA,"There were no obvious trends or consistencies regarding the SNPs with signs of Hardy‐Weinberg disequilibrium, neither relating to the SNPs nor the studies, and we consider these chance findings. This was corroborated by analyses excluding the three SNPs in Hardy‐Weinberg disequilibrium in the UK Biobank Study as listed in the results. In addition, results from two‐sample Mendelian randomization analyses of hay fever, asthma, FEV1 and FVC were almost identical to the one‐sample analyses which means that weak instrument bias does not seriously bias our results","MR Egger and median regressions showed little sign of pleiotropy in the BMI‐associated SNPs and asthma. There was also a high degree of consistency in the predicted effect of each single‐SNP on asthma (Fig. S5). Also, we found little evidence of associations between the included SNPs and the possible confounders, age, sex, smoking and alcohol intake in the UK Biobank data","Not discussed","Not discussed",NA,"BMI on asthma",0.0582689081239758,0.0295588022415444,0.0953101798043249
43,"skeletal_arthritis_BMI.csv",82,"no","yes","Genetic association between adiposity and gout: a Mendelian randomization study",2018,"Rhematology","10.1093/rheumatology/key229","Larsson","Susanna Larsson","susanna.larsson@ki.se","Unit of Nutritional, Epidemiology, Institute of Environmental Medicine, Karolinska, Institutet, 171 77 Stockholm, Sweden.","Effect of body mas index and waist hip ratio adjusted for body mass index on gout and serum urate concentrationusing","Gout inflicts substantial morbidity by causing severe pain and is associated with an increased risk of death and is paralleled with the rise in obesity trend, suggesting excess adiposity may be a risk factor for gout but the literature is inconsistent.","Two-sample summary-level","arthritis","gout","skeletal","Usually by questionnaire of gout or medication but defined differently","Kottgen 2013 Gout European Both","mean range: 25.5-76.4","Both",2115,67259,2115,67259,NA,"Case/control","European ancestry","BMI","BMI","Locke 2015 BMI All ancestries both","11-108","Both in Locke paper","339224",339224,NA,"Healthy","They seem to use information from all ancestries for their main analyses but then restrict to the SNPs associated with each exposure within just Europeans for a sensitivity analyses to check that population stratification wasn't a problem",NA,NA,"In the Locke paper, the used a distance criterion of +/- 500kb surround in each GWAS peak at 5 x 10e-8","Not in the GWAS but in the current paper, authors used weighted median and MR-Egger regression plus heterogeneity statistics using Cochran's Q test","5x10-8","Not discussed",NA,"Not discussed",NA,97,NA,97,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",1,1,NA,NA,"Consistent with main analysis","Not discussed","Stata version 14.1","Not discussed","Not discussed","Not discussed","Bonferroni-correction of 0.05/14 = 0.0125 to reflect two adiposity measures and two outcomes","SD","Case/control","OR",2.24,NA,95,1.7,2.95,2,"None",NA,"We could not assess the associations of adiposity with gout and serum urate concentrations separately for men and women, with potentially different fat accumulation in different locations.","The possibility that pleiotropy (i.e. the genetic association with the outcome is through a different causal pathway and not through the exposure of interest) may have influenced the results cannot entirely be ruled out. However, the genetic association between BMI and risk of gout was similar in sensitivity analyses and there was no evidence of pleiotropy.","Bias due to population stratification is unlikely to explain the observed associations because BMI was positively associated with gout and serum urate concentrations in analyses restricted to data from 77 SNPs associated with BMI in European-ancestry individuals.","Not discussed",NA,"BMI on arthritis",0.806475865866949,0.53062825106217,1.08180517035173
44,"cardiovascular_SBP_BMI.csv",65,"no","yes","Causal Effects of Body Mass Index
on Cardiometabolic Traits and Events: A Mendelian Randomization Analysis",2014,"The American Journal of Human Genetics","10.1016/j.ajhg.2013.12.014","Holmes","Michael V. Holmes,","michael.holmes@uphs.upenn.edu","Division of Transplantation, Department of Surgery, Perelman School of Medicine, University of Pennsylvania, 3400 Spruce Street, Philadelphia, PA 19104, USA; Genetic Epidemiology Group, Institute of Cardiovascular Science, Faculty of Population Health Sciences, University College London, 1–19 Torrington Place, London WC1E 6BT, UK","Effect of BMI on cardiometabolic traits and events","Elevated body mass index associates with cardiometabolic traits on observational analysis, yet the underlying causal relationships remain unclear.","One-sample","SBP","SBP","cardiovascular","Defined in individual cohorts","Current study","18+","both",30136,NA,NA,NA,NA,"Healthy","Manually fill","BMI","BMI","Guo 2013 BMI All ancestries both","18+","both","30136",108912,"One-sample where they got exposure SNPs from external GWAS","Healthy","European","Not discussed","Not discussed","Not discussed","We also investigated the association between the GS and the traditional confounders age, gender, and smoking status.","2.4x10-6","Not discussed","Not discussed","Not discussed",NA,NA,14,11,"Not discussed","Not discussed",NA,"Two-stage-least-squares","Not discussed",NA,NA,NA,NA,"Sensitivity analysis for pleiotropic effects - but not frmal method, rather SNP lists and associations tested","F statistic (>10); r2 (0.8%)","STATA","ivreg","Not discussed","Not discussed","Not discussed","SD","mm/Hg","beta",0.7,NA,95,0.24,1.16,NA,NA,NA,"Our instrumental variable (causal) analysis made the assumption of a linear relationship14 between BMI and cardiometabolic traits and events. This is at odds with some published observa- tional studies","In support of our data is the concordance between our Mendelian randomized estimates for all traits (including CHD) and the clinical-trial randomized estimates from the LOOK AHEAD trial.
SNPs specific to refined adiposity phenotypes. Studies
included in this analysis contributed to the original dis-
covery analysis,23 and thus use of overlapping studies for
discovery and Mendelian randomization analysis could
theoretically result in model overfitting. Our instrumental
variable (causal) analysis made the assumption of a linear
relationship14 between BMI and cardiometabolic traits
and events. This is at odds with some published observa-
4
intervention on risk of T2D.
When we compared the estimates from the instru-
the Look AHEAD trial","We restricted our analysis to individuals of European ancestry to avoid confounding by population admixture.","not discussed",NA,"BMI on SBP",0.7,0.24,1.16
45,"cardiovascular_SBP_BMI.csv",128,"no","yes","A Bayesian approach to Mendelian randomisation with
 dependent instruments",2018,"Statistics in Medicine","10.1002/sim.8029","Shapland","Chin Yang Shapland","chinyang.shapland@bristol.ac.uk","Department ofHealth Sciences and Genetics, Universityof Leicester, Leicester LE1 7RH, UK.","Method paper: effect of body mass index on mean 24-hour systolic blood pressure","In the context of MR, the selection of instruments using the p-value or F-statistic cannot distinguish between situations in which (1) there is not sufficient data to detect an effect and (2) there is no effect. By computing the posterior effect probability for each variant, the Bayesian approach is able to quantify these two possibilities. Instead of selecting instruments based on significance, instruments that are biologically relevant to the exposure or instruments that have shown association with it in a meta-analysis can be given more weight.","One-sample","SBP","SBP","cardiovascular","mean 24-hour Systolic blood pressure","Current study","52.7±4.6","both",1026,NA,NA,NA,NA,"Healthy","European","BMI","BMI","Current study","52.7±4.6","both","1026",1026,NA,"Healthy","European","Not discussed","Not discussed","Yes - not clear on method","Not discussed","Not discussed","Not discussed","Not discussed","Yes - not clear on method",NA,173,NA,173,NA,"Not discussed",NA,"Two-stage-least-squares","Not discussed",NA,NA,NA,NA,NA,"Highest F-statistic = 8","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","mm/Hg","beta",0.86,NA,95,0.47,1.25,1,NA,NA,"We have not compared ivbma with all of the approaches for many instruments. However, the many instruments literature concentrates on strong instruments and may therefore notbe relevant to most MR settings. IVBMA is particularly appealing in the context of many weak instruments because, bydefinition, model selection will be difficult and model averaging allows us to incorporate that uncertainty.","Not discussed","Not discussed","Not discussed",NA,"BMI on SBP",0.86,0.47,1.25
